,case_id,name,description,ruling
59,"18332,-18419,-7646_Alaska_2023/04/21","Borghesan, Justice",Concurred with majority opinion.,concur
60,"18332,-18419,-7646_Alaska_2023/04/21","Henderson, Justice",Concurred with majority opinion.,concur
61,"18332,-18419,-7646_Alaska_2023/04/21","Matthews, Senior Justice",Concurred with majority opinion.,concur
62,"18332,-18419,-7646_Alaska_2023/04/21","Eastaugh, Senior Justice","Concurred, agreed fully with the court's resolution but expressed doubts about whether the described priorities for applying redistricting criteria were correct, though these doubts did not affect the outcome.",concur
63,S-17792_Alaska_2022/11/18,"Borghesan, Justice","Concurred, argued that AS 09.55.548(b) violates the Alaska Constitution's equal protection guarantee as applied to claimants whose insurers have a contractual right to reimbursement, despite finding that ERISA does not preempt the statute and the Lowe's Plan is not a federal program.",concur
64,S-17792_Alaska_2022/11/18,"Bolger, Chief Justice",Concurred with majority opinion.,concur
65,S-17792_Alaska_2022/11/18,"Winfree, Justice",Concurred with majority opinion.,concur
66,S-17792_Alaska_2022/11/18,"Maassen, Justice",Concurred with majority opinion.,concur
67,S-17792_Alaska_2022/11/18,"Carney, Justice",Concurred with majority opinion.,concur
68,S-18333_Alaska_2022/09/30,Winfree,"Concurred, arguing that the Higher Education Investment Fund is sweepable under the precedent set by Hickel v. Cowper, as it requires further appropriation before expenditure, and the court declines to overrule this precedent.",concur
69,S-18333_Alaska_2022/09/30,Maassen,Concurred with majority opinion.,concur
70,S-18333_Alaska_2022/09/30,Carney,Concurred with majority opinion.,concur
71,S-18333_Alaska_2022/09/30,Borghesan,Concurred with majority opinion.,concur
72,S-18333_Alaska_2022/09/30,Henderson,Concurred with majority opinion.,concur
73,S-17892_Alaska_2022/09/02,Borghesan,"Concurred, argued that removal from electronic monitoring implicates a prisoner's protected liberty interest under the Alaska Constitution, requiring due process, but found that the DOC's decision was not from an adjudicative process suitable for appellate review.",concur
74,S-17892_Alaska_2022/09/02,Winfree,Concurred with majority opinion.,concur
75,S-17892_Alaska_2022/09/02,Maassen,Concurred with majority opinion.,concur
76,S-17892_Alaska_2022/09/02,Carney,Concurred with majority opinion.,concur
77,"S-17666,-S-17785_Alaska_2022/08/12",Maassen,"Concurred, argued that the Alaska Constitution implies an annual budgeting requirement and forward funding undermines the comprehensive planning and budgeting flexibility intended by the framers.",concur
78,"S-17666,-S-17785_Alaska_2022/08/12",Bolger,Concurred with majority opinion.,concur
79,"S-17666,-S-17785_Alaska_2022/08/12",Winfree,Concurred with majority opinion.,concur
80,"S-17666,-S-17785_Alaska_2022/08/12",Carney,Concurred with majority opinion.,concur
81,"S-17666,-S-17785_Alaska_2022/08/12",Matthews,Concurred with majority opinion.,concur
82,"S-17666,-S-17785_Alaska_2022/08/12",Borghesan,Did not participate in the case.,other
83,S-17411_Alaska_2022/07/22,Maassen,"Concurred, concluding that the superior court appropriately applied sentencing benchmarks and aggravating factors, and did not abuse its discretion regarding general deterrence and community condemnation, but did abuse discretion in admitting certain victim impact evidence without prior review.",concur
84,S-17411_Alaska_2022/07/22,Carney,"Dissented, arguing that while concurring on several points like the Page benchmark and non-recusal, the court's discussion of victim tribute videos was insufficient, and the superior court abused its discretion more broadly by allowing itself to be swayed by emotional presentations and failing to guard against sentencing disparities.",dissent
85,"S-17802,-S-17821_Alaska_2022/04/15",Maassen,"Concurred, argued that the housing authority had a tort duty to inspect the boiler, which was still in effect, and that the jury's finding of negligence was supported by evidence. Also affirmed the application of the statutory damages cap to Dietrich's award and the separate capping of family members' emotional distress damages.",concur
86,"S-17802,-S-17821_Alaska_2022/04/15",Bolger,Concurred with majority opinion,concur
87,"S-17802,-S-17821_Alaska_2022/04/15",Winfree,Concurred with majority opinion,concur
88,"S-17802,-S-17821_Alaska_2022/04/15",Carney,Concurred with majority opinion,concur
89,"S-17802,-S-17821_Alaska_2022/04/15",Eastaugh,Concurred with majority opinion,concur
90,S-18109_Alaska_2022/03/09,"Winfree, Chief Justice",Concurred with majority opinion.,concur
91,S-18109_Alaska_2022/03/09,"Maassen, Justice",Concurred with majority opinion.,concur
92,S-18109_Alaska_2022/03/09,"Carney, Justice",Concurred with majority opinion.,concur
93,S-18109_Alaska_2022/03/09,"Borghesan, Justice",Concurred with majority opinion.,concur
94,S-18109_Alaska_2022/03/09,"Henderson, Justice",Concurred with majority opinion.,concur
95,S-17297_Alaska_2022/01/28,Winfree,"Concurred, argued that the judiciary's role is limited to ensuring constitutional principles are followed and not making legislative policy judgments on natural resource management and climate change, which are committed to the political branches.",concur
96,S-17297_Alaska_2022/01/28,Bolger,Concurred with majority opinion.,concur
97,S-17297_Alaska_2022/01/28,Stowers,Concurred with majority opinion.,concur
98,S-17297_Alaska_2022/01/28,Maassen,"Dissented, argued that the court should explicitly recognize a constitutional right to a livable climate and that a declaratory judgment would be a small but necessary step to address this existential crisis.",dissent
99,S-17297_Alaska_2022/01/28,Carney,"Dissented, joined Justice Maassen's dissenting opinion.",dissent
100,S-17577_Alaska_2022/01/21,"Bolger, Chief Justice","Concurred, arguing that the option to purchase dental insurance is an accrued benefit, but both coverage and premiums must be considered when evaluating its value for diminishment analysis.",concur
101,S-17577_Alaska_2022/01/21,"Winfree, Justice","Dissented, arguing that the legislature only authorized discretionary, self-funded dental benefits, not constitutionally protected mandatory accrued benefits, and the court oversteps its role.",dissent
102,S-17577_Alaska_2022/01/21,"Maassen, Justice",Concurred with majority opinion.,concur
103,S-17577_Alaska_2022/01/21,"Matthews, Senior Justice",Concurred with majority opinion.,concur
104,S-17577_Alaska_2022/01/21,"Eastaugh, Senior Justice",Concurred with majority opinion.,concur
105,S-18003_Alaska_2021/11/12,"Maassen, Justice","Concurred, arguing that defining legislative inaction as rejection violates the Alaska Constitution's requirement for a joint session vote for confirmation or rejection of gubernatorial appointees, based on plain text and constitutional history.",concur
106,S-18003_Alaska_2021/11/12,"Winfree, Justice",Concurred with majority opinion.,concur
107,S-18003_Alaska_2021/11/12,"Carney, Justice",Concurred with majority opinion.,concur
108,S-18003_Alaska_2021/11/12,"Borghesan, Justice",Concurred with majority opinion.,concur
109,S-18003_Alaska_2021/11/12,"Fabe, Senior Justice",Concurred with majority opinion.,concur
110,S-18003_Alaska_2021/11/12,"Bolger, Chief Justice",Did not participate in the case.,other
111,S-17902_Alaska_2021/09/17,Maassen,"Concurred, argued that the absentee ballot witness requirement imposed a substantial constitutional burden on the right to vote during the COVID-19 pandemic, which the State's interests in deterring fraud and promoting voter confidence did not sufficiently justify.",concur
112,S-17902_Alaska_2021/09/17,Bolger,Concurred with majority opinion.,concur
113,S-17902_Alaska_2021/09/17,Winfree,Concurred with majority opinion.,concur
114,S-17902_Alaska_2021/09/17,Carney,Concurred with majority opinion.,concur
115,S-17902_Alaska_2021/09/17,Borghesan,Concurred with majority opinion.,concur
116,S-17706_Alaska_2021/07/16,"Maassen, Justice","Concurred, argued that the recall application met legal requirements and that it is for the voters, not the court, to decide the truth and seriousness of the allegations, interpreting recall statutes liberally to preserve constitutional rights.",concur
117,S-17706_Alaska_2021/07/16,"Stowers, Justice","Dissented in part, argued that the governor's line-item veto power is broad constitutional discretion and the court should determine if a constitutional violation actually occurred before leaving it to the voters to decide if the allegations merit recall.",dissent
118,S-17706_Alaska_2021/07/16,"Winfree, Justice",Concurred with majority opinion.,concur
119,S-17706_Alaska_2021/07/16,"Carney, Justice",Concurred with majority opinion.,concur
120,S-17706_Alaska_2021/07/16,"Eastaugh, Senior Justice",Concurred with majority opinion.,concur
121,S-17706_Alaska_2021/07/16,"Bolger, Chief Justice",Not participating.,other
122,S-17887_Alaska_2021/07/09,Bolger,"Concurred, argued that the superior court did not abuse its discretion by denying the injunction because granting it would have imperiled the public interest in an orderly and timely election, regardless of the merits of Galvin's claims.",concur
123,S-17887_Alaska_2021/07/09,Winfree,Concurred with majority opinion.,concur
124,S-17887_Alaska_2021/07/09,Maassen,"Dissented, argued that the superior court should have issued the injunction as Galvin was likely to succeed on her statutory claim, the public interest includes a proper ballot, and evidence did not support a finding that injunctive relief would disrupt an orderly election.",dissent
125,S-17887_Alaska_2021/07/09,Carney,"Dissented, joining Justice Maassen's opinion.",dissent
126,S-17887_Alaska_2021/07/09,Eastaugh,Concurred with majority opinion.,concur
127,S-16752_Alaska_2021/05/28,Bolger,"Concurred, argued that the legislature could reasonably decide to treat misdemeanor traffic violations consistently to promote public safety and protect juvenile offenders from the harsh collateral consequences of a felony conviction, thus finding the statute constitutional.",concur
128,S-16752_Alaska_2021/05/28,Winfree,Concurred with majority opinion.,concur
129,S-16752_Alaska_2021/05/28,Maassen,Concurred with majority opinion.,concur
130,S-16752_Alaska_2021/05/28,Stowers,"Dissented, argued that the juvenile court exclusion statute facially discriminates between minors accused of felony DUI and misdemeanor DUI, and there is not a close relationship between the State's interests and this classification, thus violating equal protection rights.",dissent
131,S-16752_Alaska_2021/05/28,Carney,Dissented with Justice Stowers' opinion.,dissent
132,S-17157_Alaska_2021/04/02,"Maassen, Justice","Concurred, argued that the statutory reinstatement right for former public employees was an accrued benefit protected by the constitution and its repeal was unconstitutional.",concur
133,S-17157_Alaska_2021/04/02,"Carney, Justice","Dissented, argued that the statutory right to reinstatement was not an accrued benefit and former members, having withdrawn contributions, were not constitutionally protected.",dissent
134,S-17157_Alaska_2021/04/02,"Fabe, Senior Justice",Dissented with majority opinion.,dissent
0,24-0384;-24-0385;-24-0387_Texas_2026/04/24,James D. Blacklock,"Concurred, argued that while Dr. Mooney might have standing, the merits of the case dictate vacating the injunctions because gender-transition treatments for children have been outlawed in Texas and upheld by higher courts, rendering the legal theories moot.",concur
1,24-0892_Texas_2026/03/13,James D. Blacklock,"Concurred, argued that the district court erred by analyzing the original CID instead of the revised one and by substituting its own judgment for the Attorney General's reasonable belief regarding the relevance of PFLAG's documents to an investigation of deceptive billing practices.",concur
2,24-0892_Texas_2026/03/13,Sullivan,"Other, did not participate in the decision.",other
3,24-0162_Texas_2025/06/27,James D. Blacklock,"Concurred, arguing that section 552.321(b) is a venue provision that does not expand district courts' jurisdiction to issue writs of mandamus against constitutional executive officers, which remains exclusive to the Supreme Court under section 22.002(c).",concur
4,24-0162_Texas_2025/06/27,Justice Young,"Concurred, arguing that the court of appeals made mistaken holdings regarding the legislature's authority to authorize district courts to issue mandamus against executive officers, especially the governor, believing no court can issue such a writ against the governor due to his unique constitutional status.",concur
5,24-0162_Texas_2025/06/27,Justice Sullivan,"Other, did not participate in the decision.",other
6,23-0192-_Texas_2025/05/30,Justice Young,"Concurred, arguing that the Texas Constitution prohibits courts from issuing advisory opinions in moot cases, and there is no public-interest exception to this constitutional mandate.",concur
7,23-0192-_Texas_2025/05/30,Chief Justice Blacklock,Did not participate in the decision.,other
8,23-0192-_Texas_2025/05/30,Justice Sullivan,Did not participate in the decision.,other
9,"WR-45,746-04_Texas_2025/07/30","Schenck, P.J.","Concurred with the decision to remand for further evidence development, but dissented from the lack of specific guidance in the remand order and the omission of a directive for DNA testing, arguing for a less stringent standard for actual innocence claims in capital cases under the Texas Constitution.",other
10,"WR-45,746-04_Texas_2025/07/30","Yeary, J.","Dissented, arguing that Judge Schenck's opinion gives insufficient weight to the state's finality interest and that the writ should not be open to state constitutional claims for actual innocence based on the framers' original intent.",dissent
11,23-0703_Texas_2025/06/27,Evan A. Young,"Concurred, argued that the Court correctly interpreted § 22.207 of the Business Organizations Code, which protects religious organizations' authority and autonomy, and highlighted the importance of the church-autonomy doctrine, suggesting the Texas Constitution may offer even stronger protections than the federal one.",concur
12,23-0703_Texas_2025/06/27,Justice Devine,"Concurred, argued that he joined Justice Young's opinion in full.",concur
13,23-0703_Texas_2025/06/27,Justice Sullivan,"Concurred, argued that he joined Justice Young's opinion in full.",concur
14,23-0703_Texas_2025/06/27,Chief Justice Blacklock,"Concurred, argued that he joined Justice Young's opinion regarding the interpretation of § 22.207 and the discussion of the Texas church-autonomy doctrine.",concur
15,24-0573_Texas_2025/05/30,Evan A. Young,"Concurred, arguing that the trial court erred in denying leave to file a quo warranto action and in granting a permanent injunction against records requests, and that the records request statute is not facially unconstitutional when interpreted to allow for precompliance review.",concur
16,24-0573_Texas_2025/05/30,Justice Sullivan,Did not participate in the decision.,other
17,23-0067_Texas_2025/05/02,Justice Bland,"Concurred, arguing that protective orders prohibiting parental contact for over two years significantly interfere with fundamental parental rights, similar to termination of parental rights, and therefore require a clear and convincing evidentiary standard and consideration of the child's best interest.",concur
18,23-0474_Texas_2025/03/21,Jeffrey S. Boyd,"Concurred, argued that a regulation can cause a compensable Texas taking even if it results from a valid exercise of the government's police power or is intended to promote compliance with the federal flood-insurance program, and that the plaintiff's claims were ripe and they had standing.",concur
19,24-0714_Texas_2025/06/13,James P. Sullivan,"Dissented, argued that the court should decline to answer the certified question as it was an advisory opinion on a new, unconstrued provision and that the court should not answer a question the Fifth Circuit didn't explicitly ask.",dissent
20,23-0767_Texas_2025/05/09,John P. Devine,"Concurred, argued that new legislation provides a non-judicial means for property owners to secure release from the ETJ, making it unnecessary to rule on constitutional claims at this stage, and judicial restraint demands avoiding such rulings.",concur
21,23-0767_Texas_2025/05/09,Chief Justice Blacklock,Concurred with majority opinion.,concur
22,23-0767_Texas_2025/05/09,Justice Lehrmann,Concurred with majority opinion.,concur
23,23-0767_Texas_2025/05/09,Justice Boyd,Concurred with majority opinion.,concur
24,23-0767_Texas_2025/05/09,Justice Busby,Concurred with majority opinion.,concur
25,23-0767_Texas_2025/05/09,Justice Bland,Concurred with majority opinion.,concur
26,23-0767_Texas_2025/05/09,Justice Huddle,Concurred with majority opinion.,concur
27,23-0767_Texas_2025/05/09,Justice Young,Concurred with majority opinion.,concur
28,23-0767_Texas_2025/05/09,Justice Sullivan,"Concurred in part and dissented in part, argued that the lower courts erred in finding the republican-form-of-government claim nonjusticiable and that the plaintiffs should not be compelled to pursue the statutory opt-out process before litigating their constitutional claims.",dissent
29,"PD-0522-21,-PD-0523-21,-PD-0524-21_Texas_2024/09/11","Slaughter, J.","Concurred, argued that the Legislature intended for the TEC to have exclusive jurisdiction over campaign-law violations, requiring exhaustion of administrative remedies before criminal prosecution, based on the extensive statutory scheme and the agency's expertise.",concur
30,"PD-0522-21,-PD-0523-21,-PD-0524-21_Texas_2024/09/11","Hervey, J.",Concurred with majority opinion.,concur
31,"PD-0522-21,-PD-0523-21,-PD-0524-21_Texas_2024/09/11","Richardson, J.",Concurred with majority opinion.,concur
32,"PD-0522-21,-PD-0523-21,-PD-0524-21_Texas_2024/09/11","Newell, J.",Concurred with majority opinion.,concur
33,"PD-0522-21,-PD-0523-21,-PD-0524-21_Texas_2024/09/11","Walker, J.",Concurred with majority opinion.,concur
34,"PD-0522-21,-PD-0523-21,-PD-0524-21_Texas_2024/09/11","Keller, P.J.","Dissented, argued that the majority mistakenly focuses on prosecutorial power instead of trial court jurisdiction, and exclusive jurisdiction should not apply to criminal prosecutions without explicit legislative language.",dissent
35,"PD-0522-21,-PD-0523-21,-PD-0524-21_Texas_2024/09/11","Yeary, J.","Dissented with Keller, P.J.'s opinion.",dissent
36,"PD-0522-21,-PD-0523-21,-PD-0524-21_Texas_2024/09/11","Keel, J.","Dissented with Keller, P.J.'s opinion.",dissent
37,"PD-0522-21,-PD-0523-21,-PD-0524-21_Texas_2024/09/11","McClure, J.",Concurred with the majority opinion.,concur
38,24-0426_Texas_2024/08/23,Evan A. Young,"Concurred, argued that Senate Bill 1045 is constitutional as the legislature has broad authority to create courts and define their jurisdiction, and the judge appointment process aligns with constitutional provisions and election regulations.",concur
39,22-1149_Texas_2024/06/28,Evan A. Young,"Concurred, argued that Article 10 of the collective-bargaining agreement, when properly interpreted to authorize only lawful conduct, does not violate the Texas Constitution's Gift Clauses and serves a legitimate public purpose, while reversing sanctions against petitioners.",concur
40,22-1149_Texas_2024/06/28,Chief Justice Hecht,Concurred with majority opinion.,concur
41,22-1149_Texas_2024/06/28,Justice Lehrmann,Concurred with majority opinion.,concur
42,22-1149_Texas_2024/06/28,Justice Blacklock,Concurred with majority opinion.,concur
43,22-1149_Texas_2024/06/28,Justice Bland,Concurred with majority opinion.,concur
44,22-1149_Texas_2024/06/28,Justice Huddle,Concurred with majority opinion.,concur
45,22-1149_Texas_2024/06/28,Justice Busby,"Dissented in part and concurred in the judgment in part, argued that the City violated Gift Clauses by providing publicly funded leave without sufficient public control, leading to common misuse for private and political purposes, and that the Court's reinterpretation of the agreement deprives parties of fair notice, while concurring with reversing TCPA sanctions.",dissent
46,22-1149_Texas_2024/06/28,Justice Boyd,"Dissented, arguing that the City violated Gift Clauses by providing publicly funded leave without sufficient public control, leading to common misuse for private and political purposes, and that the Court's reinterpretation of the agreement deprives parties of fair notice.",dissent
47,22-1149_Texas_2024/06/28,Justice Devine,"Dissented, arguing that the City violated Gift Clauses by providing publicly funded leave without sufficient public control, leading to common misuse for private and political purposes, and that the Court's reinterpretation of the agreement deprives parties of fair notice.",dissent
48,24-0325_Texas_2024/06/14,James D. Blacklock,"Concurred, argued that the State raised serious doubt about the constitutionality of the Uplift Harris program, and potential constitutional violations could not be remedied if payments commenced, requiring a stay to preserve parties' rights and uphold democratic norms.",concur
49,22-0585_Texas_2024/05/17,J. Brett Busby,"Concurred, argued that TxDOT's immunity from the negligence claim was not waived, but the Selfs had a viable claim for inverse condemnation because TxDOT intentionally directed the trees' destruction.",concur
50,23-0565_Texas_2024/04/26,James D. Blacklock,"Concurred, argued that the Pandemic Liability Protection Act (PLPA) does not violate the retroactivity clause of the Texas Constitution because Hogan had no reasonable and settled expectation of recovery for damages from SMU under the unprecedented circumstances of the pandemic.",concur
51,23-0697_Texas_2024/06/28,Rebeca A. Huddle,"Concurred, arguing that plaintiffs failed to establish a probable right that the Legislature's prohibition of certain treatments for children with gender dysphoria violates the Texas Constitution, as parental rights are not absolute, and the Legislature has constitutional authority to regulate medical practice.",concur
52,23-0697_Texas_2024/06/28,Chief Justice Hecht,Concurred with majority opinion.,concur
53,23-0697_Texas_2024/06/28,Justice Boyd,Concurred with majority opinion.,concur
54,23-0697_Texas_2024/06/28,Justice Devine,Concurred with majority opinion.,concur
55,23-0697_Texas_2024/06/28,Justice Blacklock,Concurred with majority opinion.,concur
56,23-0697_Texas_2024/06/28,Justice Busby,Concurred with majority opinion.,concur
57,23-0697_Texas_2024/06/28,Justice Bland,Concurred with majority opinion.,concur
58,23-0697_Texas_2024/06/28,Justice Young,Concurred with majority opinion.,concur
59,23-0697_Texas_2024/06/28,Justice Lehrmann,"Dissented, arguing that the majority's decision relied on an untraditional request for relief under substantive due process and overstated the parental right to control medical decisions for children.",dissent
60,22-0102_Texas_2024/03/15,Evan A. Young,"Concurred, argued that a city ordinance cannot bestow a perpetual veto right on a third party, as it constitutes an impermissible alienation of lawmaking authority and violates the nonentrenchment doctrine.",concur
61,PD-0280-22_Texas_2024/02/07,"Newell, J.","Concurred, argued that the alternate juror's participation was a statutory violation but not a constitutional one, and remanded for a statutory harm analysis while disavowing the presumption of harm.",concur
62,PD-0280-22_Texas_2024/02/07,"Hervey, J.",Concurred with majority opinion.,concur
63,PD-0280-22_Texas_2024/02/07,"Richardson, J.",Concurred with majority opinion.,concur
64,PD-0280-22_Texas_2024/02/07,"Walker, J.",Concurred with majority opinion.,concur
65,PD-0280-22_Texas_2024/02/07,"McClure, J.",Concurred with majority opinion.,concur
66,PD-0280-22_Texas_2024/02/07,"Yeary, J.","Dissented, argued that the alternate juror's participation was a constitutional violation and harmful, and disagreed with abandoning the presumption of harm.",dissent
67,PD-0280-22_Texas_2024/02/07,"Keel, J.","Dissented, argued that the alternate juror's presence and participation was not an error, neither constitutionally nor statutorily, and was therefore not harmful.",dissent
68,PD-0280-22_Texas_2024/02/07,"Keller, P.J.",Dissented with Judge Keel's opinion.,dissent
69,PD-0280-22_Texas_2024/02/07,"Slaughter, J.",Dissented with Judge Keel's opinion.,dissent
70,22-1145_Texas_2024/06/28,Debra H. Lehrmann,"Dissented, argued that exhaustion of administrative remedies was a jurisdictional prerequisite and that the court should have dismissed the judge's claims.",dissent
71,D-1-GN-23-000968_Texas_2024/05/31,Jane N. Bland,"Concurred, argued that the Human Life Protection Act, properly construed, permits life-saving abortions based on reasonable medical judgment to avert the mother's death or serious physical impairment, and that the trial court's injunction unconstitutionally departed from this clear meaning.",concur
72,D-1-GN-23-000968_Texas_2024/05/31,Justice Lehrmann,Concurred with majority opinion.,concur
73,D-1-GN-23-000968_Texas_2024/05/31,Justice Busby,Concurred with majority opinion.,concur
74,23-0656_Texas_2023/08/14,Karin Crump,"Concurred, argued that Harris County demonstrated a valid cause of action, a probable right to relief, and imminent and irreparable injury, and that SB 1750 is likely an unconstitutional local law.",concur
75,PD-1102-20_Texas_2023/06/21,Walker,"Concurred, delivered the opinion of the Court, holding that speedy trial claims are not cognizable in pretrial habeas corpus and would be undermined by such litigation, with mandamus or post-trial appeal being the proper remedies.",concur
76,PD-1102-20_Texas_2023/06/21,Keller,Concurred with majority opinion.,concur
