,case_id,docket_no,title,state,date,type,description,plaintiff_argument,defendant_argument,decision_outcome,decision_winner,environment,consumers,reproductive_rights,democratic_norms,free_press,public_health,separation_church_state,voting_access,public_education,free_speech,privacy,worker_rights
12,S-17792_Alaska_2022/11/18,S-17792,Knolmayer v. McCollum,Alaska,2022/11/18,Torts and Liability,"Whether Alaska Statute 09.55.548(b), which reduces medical malpractice awards by amounts compensated by collateral sources, violates the Equal Protection Guarantee of the Alaska Constitution when applied to a plaintiff whose insurer has a contractual right to reimbursement.","McCollum argues that AS 09.55.548(b) should not apply to her ERISA-governed health plan because it is a ""federal program,"" ERISA preempts the state law, an assignment of the subrogation claim allows her to recover, and ultimately, the statute as applied violates equal protection by creating a double deduction.","Knolmayer argues that AS 09.55.548(b) applies to McCollum's ERISA plan, which is not a ""federal program,"" and ERISA does not preempt it. He also contends that the statute's classifications are constitutional and serve the legitimate purpose of preventing double recoveries without abrogating insurers' subrogation rights.","The Alaska Supreme Court ruled that Alaska Statute 09.55.548(b) violates the state's equal protection clause when applied to medical malpractice claimants whose insurers have contractual reimbursement rights, vacating the lower court's order.",plaintiff,NA,protected,NA,protected,NA,NA,NA,NA,NA,NA,NA,NA
13,S-18333_Alaska_2022/09/30,S-18333,Short v. State,Alaska,2022/09/30,Government Structure,"Whether the Higher Education Investment Fund (HEIF) is subject to the constitutional budgetary ""sweep"" provision, requiring its unappropriated funds to be deposited into the Constitutional Budget Reserve (CBR).","The HEIF is not sweepable because its funds have already been validly appropriated and invested, and prior legal precedent either does not apply to this specific provision or should be overruled.","The HEIF is sweepable because it resides in the general fund and, as per established case law, requires further legislative appropriation before expenditures, thus making its funds ""available for appropriation.""",The court affirmed the superior court's decision that the Higher Education Investment Fund is sweepable under the relevant constitutional provision.,defendant,NA,NA,NA,NA,NA,NA,NA,NA,infringed,NA,NA,NA
14,S-17892_Alaska_2022/09/02,S-17892,Department of Corrections v. Stefano,Alaska,2022/09/02,Criminal Law,"Whether the superior court has appellate jurisdiction to review the Department of Corrections' decision to remove an inmate from electronic monitoring and return them to prison, and whether such a decision implicates the constitutional guarantee of due process.","Stefano argued that his removal from electronic monitoring implicated his constitutional right to rehabilitation and a protected liberty interest, thus the superior court had appellate jurisdiction to review the DOC's decision.","The Department of Corrections argued that the superior court lacked appellate jurisdiction, that removal from electronic monitoring does not implicate a constitutional right to rehabilitation, and that its decision was not an adjudicative proceeding producing a record capable of appellate review.","The court ruled that due process applies to removal from electronic monitoring, recognizing a prisoner's limited liberty interest, but concluded the superior court lacked appellate jurisdiction because the DOC's termination decision was not an adjudicative proceeding with a reviewable record. The court vacated the superior court's decision and remanded, instructing Stefano to convert his appeal into a civil action.",other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"S-17666,-S-17785_Alaska_2022/08/12","S-17666,-S-17785",State v. The Alaska Legislative Council,Alaska,2022/08/12,Government Structure,"Whether forward-funded appropriations for public education are consistent with the annual budgeting process established by the Alaska Constitution, with the Legislative Council arguing they are permissible and the Governor arguing they violate the annual appropriations model.","The Legislative Council argued that the forward-funded appropriations were consistent with the legislature's constitutional authority to fund public education, did not violate any specific constitutional provision, and that the governor's refusal to disburse funds violated his duty to faithfully execute the laws, as the Constitution places no temporal limits on the legislature's appropriation power.","The Governor argued that forward funding for public education was unconstitutional because it violated the annual appropriations model established by the Alaska Constitution, the prohibition on dedicating revenues, and the governor's right to veto or reduce appropriations.","The Supreme Court reversed the superior court's decision, ruling that the forward-funded appropriations are unconstitutional because they are inconsistent with the annual budgeting process implied by the Alaska Constitution.",defendant,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA,NA,NA
16,S-17411_Alaska_2022/07/22,S-17411,State v. Graham,Alaska,2022/07/22,Criminal Law,"Whether the superior court erred in applying sentencing standards and admitting victim impact evidence in the sentencing of Stacey Graham for vehicular homicide, and whether the sentencing judge should be recused.","The State of Alaska argued that the superior court properly applied sentencing benchmarks and aggravating factors, and correctly considered general deterrence and community condemnation. While conceding evidentiary errors regarding police testimony and tribute videos, they contended these errors did not necessitate the recusal of the sentencing judge.","Stacey Graham argued that the superior court imposed an excessive sentence by misapplying sentencing benchmarks and an aggravating factor, improperly relying on general deterrence and community condemnation, and admitting prejudicial victim impact evidence, thus requiring resentencing by a different judge.","The court reversed the decision of the court of appeals on sentencing standards, vacated Graham's sentence due to evidentiary errors, and remanded the case for resentencing by the same judge, with instructions for reviewing victim tribute videos.",other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"S-17802,-S-17821_Alaska_2022/04/15","S-17802,-S-17821",Association of Village Council Presidents Regional Housing Authority v. Mael,Alaska,2022/04/15,Torts and Liability,"Whether the housing authority had a tort duty to inspect a residential boiler and negligently caused an explosion, and whether the statutory damages cap on noneconomic damages applies separately to distinct injuries of multiple family members or is aggregated.","The plaintiff argued that the housing authority had an independent tort duty to inspect the boiler, which it negligently violated, causing the explosion. The plaintiff also argued that Dietrich's noneconomic damages cap violated due process, and that family members' emotional distress damages should not be aggregated with Dietrich's damages under a single cap.","The defendant argued that no tort duty existed or, if it did, it had expired, and that the boiler explosion was caused by a product defect. The defendant also argued that all noneconomic damages, including those for family members' emotional distress, should be aggregated under a single statutory damages cap.","The court affirmed the superior court's judgment, concluding that the housing authority owed a tort duty to inspect the boiler, that the jury had sufficient evidence of negligence, that the damages cap was properly applied to Dietrich's award, and that family members' emotional distress damages were properly excluded from that cap.",plaintiff,NA,NA,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA
18,S-18109_Alaska_2022/03/09,S-18109,Dutchess v. Dutch,Alaska,2022/03/09,Speech and Religion,"Whether the father should have sole legal custody regarding vaccination decisions for the children, with the father advocating for vaccination based on medical recommendations and the mother objecting on religious grounds.",The mother objects to vaccinating the children on religious grounds and argues that the court's decision infringes on her free exercise of religion and violates due process rights.,"The father wants to vaccinate the children per their pediatrician's recommendation, believing it is in their best interests, and was granted sole legal custody for vaccination decisions.","The superior court's order granting the father sole legal custody with regard to vaccination decisions was affirmed, finding that the decision served the children's best interests.",defendant,NA,NA,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA
19,S-17297_Alaska_2022/01/28,S-17297,Sagoonick v. State,Alaska,2022/01/28,Environment,"Whether the State of Alaska's resource development policies, which contribute to climate change, violate the constitutional rights of young Alaskans to a stable climate system and protection of natural resources, or if these are non-justiciable political questions for the legislative and executive branches.","Young Alaskans argued that the State's resource development policies and actions contribute to climate change, adversely affecting their lives and violating their constitutional rights, including a fundamental right to a stable climate system and the State's public trust duty to protect natural resources.","The State argued that the plaintiffs' claims involve non-justiciable political questions, better left to the legislative and executive branches, and that the Department's denial of the rulemaking petition was not arbitrary and complied with statutory requirements.","The Alaska Supreme Court affirmed the superior court's dismissal of the plaintiffs' lawsuit, concluding that the injunctive relief claims presented non-justiciable political questions and that declaratory relief would not meaningfully settle legal relations.",defendant,infringed,NA,NA,protected,NA,infringed,NA,NA,NA,NA,NA,NA
20,S-17577_Alaska_2022/01/21,S-17577,"Department of Administration v. Retired Public Employees of Alaska, Inc.",Alaska,2022/01/21,Economic and Labor Rights,"Whether the State of Alaska's 2014 redesign of the dental insurance plan for public retirees unconstitutionally diminished accrued benefits, and whether the premiums paid by retirees should be considered when assessing the plan's value.","The 2014 dental plan diminished retirees' accrued benefits, and the cost of premiums should be irrelevant to the constitutional diminishment analysis, which should focus on coverage.","The dental coverage was not an accrued benefit, or if it was, the superior court erred by refusing to consider premium rates in its diminishment analysis.","The Supreme Court vacated the superior court's judgment, agreeing that the option to purchase dental insurance is an accrued benefit but remanding the case for reevaluation because the superior court erred in ignoring premium reductions when assessing whether the benefit was diminished.",defendant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,protected
21,S-18003_Alaska_2021/11/12,S-18003,Dunleavy v. Alaska Legislative Council ex rel. Alaska State Legislature,Alaska,2021/11/12,Government Structure,"Whether legislative inaction on gubernatorial appointments during a public health emergency is tantamount to a denial of confirmation, precluding appointees from serving as recess appointments, or if appointees remain in office until an affirmative legislative vote.","The Legislative Council argued that legislative inaction on gubernatorial appointments, as defined by statute, constitutes a denial of confirmation, making those appointees ineligible to continue serving as recess appointments.","The Governor argued that his appointees remain in office and continue to serve until the legislature affirmatively votes on their confirmation, contending that laws defining inaction as rejection violate the Alaska Constitution.","The Alaska Supreme Court reversed the superior court's judgment, concluding that state laws defining legislative inaction as a denial of confirmation for gubernatorial appointees violate the Alaska Constitution.",defendant,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA,NA,NA
22,S-17902_Alaska_2021/09/17,S-17902,State v. Arctic Village Council,Alaska,2021/09/17,Voting Rights and Elections,Whether the absentee ballot witness requirement unconstitutionally burdened the right to vote for Alaskans during the COVID-19 pandemic.,"The absentee ballot witness requirement unconstitutionally burdened the fundamental right to vote, especially for vulnerable individuals and those adhering to strict social distancing during the COVID-19 pandemic, forcing them to choose between their health and exercising their right to vote.","The witness requirement was a legitimate measure to deter voter fraud and promote voter confidence, and the plaintiffs' lawsuit was barred by laches due to their unreasonable delay in filing the suit.","The Alaska Supreme Court affirmed the superior court's grant of a preliminary injunction, finding that the absentee ballot witness requirement impermissibly burdened the right to vote in the context of the COVID-19 pandemic.",plaintiff,NA,NA,NA,protected,NA,protected,NA,protected,NA,NA,NA,NA
23,S-17706_Alaska_2021/07/16,S-17706,State v. Recall Dunleavy,Alaska,2021/07/16,Voting Rights and Elections,"Whether the recall committee's application to recall Governor Dunleavy satisfied the legal and factual sufficiency requirements for presentation to the voters, with the recall committee arguing it was sufficient and the State arguing it was not.","The recall committee argued that its application, which cited lack of fitness, incompetence, and neglect of duties as grounds for recall with specific allegations, was legally and factually sufficient.","The State of Alaska, through the Division of Elections, argued that the recall application was not legally or factually sufficient to be certified.","The Alaska Supreme Court affirmed the superior court's decision, ruling that the recall committee's application (with one minor exception) was legally and factually sufficient, allowing the recall process to proceed to the signature-gathering phase.",plaintiff,NA,NA,NA,protected,NA,NA,NA,protected,NA,NA,NA,NA
24,S-17887_Alaska_2021/07/09,S-17887,State v. Galvin,Alaska,2021/07/09,Voting Rights and Elections,"Whether the Division of Elections' 2020 general election ballot design, which omitted a candidate's nonpartisan voter registration, violated state statutory directives and the candidate's right to free political association, thereby justifying a preliminary injunction.",Alyse Galvin argued the ballot design violated a state statute requiring party affiliation to be designated on the ballot and infringed upon her constitutional right to free political association by omitting her nonpartisan voter registration.,"The Division of Elections contended that 'party affiliation' and 'party designation' were synonymous or that nonpartisan status isn't 'party affiliation,' and that granting a preliminary injunction would imperil the public interest in a timely and orderly election.","The court affirmed the superior court's denial of Alyse Galvin's request for a preliminary injunction, concluding that granting the injunction would have threatened the public interest in a successful and timely election, regardless of the merits of her claims.",defendant,NA,NA,NA,infringed,NA,NA,NA,infringed,NA,NA,NA,NA
25,S-16752_Alaska_2021/05/28,S-16752,Watson v. State,Alaska,2021/05/28,Civil Rights,"Whether the Alaska statute that excludes misdemeanor traffic violations from juvenile court jurisdiction for minors, requiring them to be charged as adults, while allowing felony traffic offenses to remain in juvenile court, violates a minor's right to equal protection under the Alaska Constitution.","The plaintiff, Elizabeth Watson, argued that the statute violates her right to equal protection because it unfairly treats first-time misdemeanor DUI offenders differently than other juvenile misdemeanors and felony DUI offenses, denying them the rehabilitative benefits of the juvenile court system.","The defendant, the State of Alaska, argued that the statute is constitutional because treating misdemeanor traffic violations consistently promotes public safety, and the exception for felony traffic offenses reasonably protects juveniles from the harsh collateral consequences of a felony conviction.","The court concluded that the statute is constitutional and affirmed the judgment of the district court, ruling that the classifications are closely related to important state interests.",defendant,NA,NA,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA
26,S-17157_Alaska_2021/04/02,S-17157,Metcalfe v. State,Alaska,2021/04/02,Economic and Labor Rights,"Whether the repeal of a statutory right allowing former state employees to reinstate their retirement benefits and credited service diminished or impaired an ""accrued benefit"" protected by the Alaska Constitution, Article XII, section 7.","The plaintiff argued that the statutory right to reinstate previous retirement benefits was an ""accrued benefit"" protected by the Alaska Constitution, and its repeal was unconstitutional.","The defendant argued that the reinstatement right was not an ""accrued benefit"" and that former members, like the plaintiff, were not protected by the constitutional provision.","The Alaska Supreme Court reversed the superior court's summary judgment, ruling that the statutory reinstatement right was an accrued benefit protected by the constitution, and remanded the case for further proceedings.",plaintiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,protected
0,24-0384;-24-0385;-24-0387_Texas_2026/04/24,24-0384;-24-0385;-24-0387,Muth v. Voe; Doe v. Abbott; Muth v. PFLAG,Texas,2026/04/24,Civil Rights,Whether temporary injunctions preventing the Texas Department of Family and Protective Services from classifying gender-transition therapy for children as child abuse should be dissolved.,"The plaintiffs (families, PFLAG, and Dr. Mooney) argued that the Texas Department of Family and Protective Services' classification of gender-transition therapy for children as child abuse violates the law, and thus the injunctions against this classification should remain.","The defendants (Texas Department of Family and Protective Services and the State of Texas) argued that the classification of gender-transition therapy for children as child abuse is lawful, and that the injunctions against this policy should be dissolved, especially since such treatments have been outlawed in Texas.","The court ruled with the Texas Department of Family and Protective Services, dissolving the temporary injunctions that prevented the department from classifying gender-transition therapy for children as child abuse.",defendant,NA,NA,NA,NA,NA,infringed,NA,NA,NA,infringed,infringed,NA
1,24-0892_Texas_2026/03/13,24-0892,PFLAG v. Office of the Attorney General,Texas,2026/03/13,Civil Rights,"Whether the Attorney General's civil investigative demand for documents from PFLAG, related to an affidavit concerning ""alternative avenues to maintain [transgender] care in Texas"" post-SB 14, is valid and enforceable under the Deceptive Trade Practices Act.","The Attorney General argued that PFLAG likely possessed information relevant to an investigation into medical providers who may be deceptively billing for transgender treatments outlawed by SB 14, and that the CID was based on a reasonable belief and subject to privacy protections.","PFLAG argued that the CID was overbroad, sought irrelevant and privileged information, and infringed on privacy and constitutional rights, asserting its documents would not corroborate DTPA violations.","The court reversed the district court's judgment and injunction, ruling that PFLAG must produce responsive documents to the Attorney General's revised civil investigative demand, subject to recognized privileges and redactions for member anonymity.",plaintiff,NA,protected,NA,protected,NA,protected,NA,NA,NA,infringed,protected,NA
2,24-0162_Texas_2025/06/27,24-0162,Paxton v. American Oversight,Texas,2025/06/27,Government Structure,Whether the Public Information Act authorizes district courts to issue writs of mandamus against constitutional executive officers like the Governor and Attorney General.,American Oversight argued that section 552.321(b) of the Public Information Act empowers district courts to issue writs of mandamus compelling executive officers to provide public information.,"The Governor and Attorney General (the State) argued that district courts lack jurisdiction to issue writs of mandamus against constitutional executive officers, contending that section 552.321(b) is merely a venue provision and does not override the Supreme Court's exclusive jurisdiction under section 22.002(c).",The Supreme Court reversed the judgment of the court of appeals and directed the district court to dismiss the mandamus petition for lack of jurisdiction.,defendant,NA,NA,NA,infringed,infringed,NA,NA,NA,NA,NA,NA,NA
3,23-0192-_Texas_2025/05/30,23-0192-,"Texas Department of Family & Protective Services v. Grassroots LeaderShip, Inc.",Texas,2025/05/30,Government Structure,"Whether Texas courts are constitutionally authorized to adjudicate moot cases that raise questions of considerable public importance, with petitioners arguing that they are not and respondents arguing that various exceptions to mootness should allow for adjudication.","The plaintiffs argued that the case was not moot due to potential re-detention or that existing mootness exceptions like 'capable-of-repetition-yet-evading-review' applied, or that the 'public-interest exception' should be adopted to allow a ruling on the merits of the rule's invalidity.","The defendants argued that the claims were moot because the detainees had been released, no existing mootness exception applied, and there is no 'public-interest exception' to mootness under the Texas Constitution.","The Texas Supreme Court reversed the court of appeals' judgment on jurisdiction, vacated its judgment on the merits, and dismissed the case for lack of subject-matter jurisdiction, holding that Texas courts are not constitutionally authorized to adjudicate moot cases under a public-interest exception.",defendant,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA,NA,NA
4,"WR-45,746-04_Texas_2025/07/30","WR-45,746-04",Ex Parte David Leonard Wood,Texas,2025/07/30,Criminal Law,"Whether the Texas Constitution requires a less stringent standard than ""clear and convincing"" for actual innocence claims in capital habeas corpus cases, and if the court's remand order should include specific directives for DNA testing.",The Applicant (plaintiff) argues that the court should apply a less stringent standard for actual innocence claims in capital cases under the Texas Constitution and that the remand order should explicitly direct DNA testing given new evidence.,"The court's (defendant's) remand order for further evidence development, without specific directives for DNA testing or addressing the standard of proof for actual innocence, reflects an adherence to existing procedures and the ""clear and convincing"" standard.","The Court issued a remand order to the lower court for further development of the evidence the Applicant presents, without providing specific guidance on the scope of development or directing DNA testing.",other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
