,State,Court,Number of Judgeships,Number of Districts/Circuits,Geographic Basis for Selection,Method of Selection (full term),Length of Term,Method of Retention,Length of Subsequent Terms,Method of Filling Interim Vacancies,When Interim Judges Stand for Election/Appointment,Selection of Chief Judge/Justice,Term of Office for Chief Judge/Justice,Qualifications,Source
10,Arkansas,Supreme Court:,7,1,statewide,nonpartisan election*+,8 yrs,reelection,8 yrs,gubernatorial appointment,next general election at least 4 mos after vacancy occurred,popular election,8 yrs,30 yrs of age; of good moral character; learned in the law; U.S. citizen; state resident > 2 yrs; 8 yrs practice of law,"['Selection and retention methods and term lengths are prescribed by Amendment 80 of the Arkansas Constitution. ', '*Judicial candidates run in a nonpartisan primary election. If no candidate receives a majority of the vote, there is a runoff in the general election. ', '+Incumbency is designated on the ballot by including the current title of a judge. ']"
11,Arkansas,Court of Appeals:,12,7,district,nonpartisan election*+,6 yrs,reelection,6 yrs,gubernatorial appointment,next general election at least 4 mos after vacancy occurred,chief justice appoints,4 yrs,30 yrs of age; of good moral charater; learned in the law; U.S. citizen; state resident > 2 yrs ; 8 yrs practice of law,"['Selection and retention methods and term lengths are prescribed by Amendment 80 of the Arkansas Constitution. ', '*Judicial candidates run in a nonpartisan primary election. If no candidate receives a majority of the vote, there is a runoff in the general election. ', '+Incumbency is designated on the ballot by including the current title of a judge. ']"
12,Arkansas,Circuit Court:,122,23,circuit,nonpartisan election*+,6 yrs,reelection,6 yrs,gubernatorial appointment,next general election at least 4 mos after vacancy occurred,supreme court appoints,no set term,28 yrs of age; of good moral character; learned in the law; U.S. citizen; state resident > 2 yrs; 6 yrs practice of law,"['Selection and retention methods and term lengths are prescribed by Amendment 80 of the Arkansas Constitution. ', '*Judicial candidates run in a nonpartisan primary election. If no candidate receives a majority of the vote, there is a runoff in the general election. ', '+Incumbency is designated on the ballot by including the current title of a judge. ']"
13,California,Supreme Court:,7,--,statewide,gubernatorial appointment;**confirmation by commission on judicial appointments***,12 yrs,retention election,12 yrs,gubernatorial appointment;**confirmation by commission on judicial appointments***,next gubernatorial election,gubernatorial appointment;**confirmation by commission on judicial appointments***,12 yrs,10 yrs practice of law in state or service as judge of court of record,"['Selection and retention methods and term lengths are prescribed by ArticleVI of the California Constitution. ', ""*In 1998, voters approved Proposition 220, a constitutional amendment that allowed the judges in each county to merge their superior and municipal courts into a single superior court. By early 2001, all of the state's 58 counties had voted to unify their courts. "", ""**Since 1979, the legislature has required that the State Bar of California's commission on judicial nominees evaluation (informally known as the Jenny Commission) review the qualifications and fitness of prospective judicial appointees through an extensive investigation. The commission, which consists of both public members and attorneys, rates candidates as exceptionally well qualified, well qualified, qualified, or not qualified. The governor is not bound by the commission's recommendations. "", ""***The commission on judicial appointments consists of three members: the chief justice, the attorney general, and the senior presiding justice of the court of appeal of the affected appellate district. When a supreme court appointee is being considered, the third member of the commission is the senior presiding justice of the state's courts of appeal. The commission holds one or more public hearings to review the appointee's qualifications and may confirm or veto the appointment by majority vote. "", ""****If no candidate receives a majority of the vote in the primary election, there is a general-election runoff between the top two candidates. If an incumbent judge is unopposed, s/he is automatically reelected; the judge's name does not appear on the ballot. The constitutionprovides that electors in each county may, by majority vote, opt for the selection of superior court judges by the method used for appellate court judges. To date, no counties have adopted an appointive process. "", '+Incumbency designations on the ballot are determined by each county. ']"
14,California,Court of Appeals:,102,6,district,gubernatorial appointment;**confirmation by commission on judicial appointments***,12 yrs,retention election,12yrs,gubernatorial appointment;**confirmation by commission on judicial appointments***,next gubernatorial election,gubernatorial appointment;**confirmation by commission on judicial appointments***,12 yrs,10 yrs practice of law in state or service as judge of court of record,"['Selection and retention methods and term lengths are prescribed by ArticleVI of the California Constitution. ', ""*In 1998, voters approved Proposition 220, a constitutional amendment that allowed the judges in each county to merge their superior and municipal courts into a single superior court. By early 2001, all of the state's 58 counties had voted to unify their courts. "", ""**Since 1979, the legislature has required that the State Bar of California's commission on judicial nominees evaluation (informally known as the Jenny Commission) review the qualifications and fitness of prospective judicial appointees through an extensive investigation. The commission, which consists of both public members and attorneys, rates candidates as exceptionally well qualified, well qualified, qualified, or not qualified. The governor is not bound by the commission's recommendations. "", ""***The commission on judicial appointments consists of three members: the chief justice, the attorney general, and the senior presiding justice of the court of appeal of the affected appellate district. When a supreme court appointee is being considered, the third member of the commission is the senior presiding justice of the state's courts of appeal. The commission holds one or more public hearings to review the appointee's qualifications and may confirm or veto the appointment by majority vote. "", ""****If no candidate receives a majority of the vote in the primary election, there is a general-election runoff between the top two candidates. If an incumbent judge is unopposed, s/he is automatically reelected; the judge's name does not appear on the ballot. The constitutionprovides that electors in each county may, by majority vote, opt for the selection of superior court judges by the method used for appellate court judges. To date, no counties have adopted an appointive process. "", '+Incumbency designations on the ballot are determined by each county. ']"
15,California,Superior Court:,1535,58*,county,nonpartisan election****+,6 yrs,reelection,6 yrs,gubernatorial appointment**,next general election,peer vote,"1 or 2 yrs, depending on county",10 yrs practice of law in state or service as judge of court of record,"['Selection and retention methods and term lengths are prescribed by ArticleVI of the California Constitution. ', ""*In 1998, voters approved Proposition 220, a constitutional amendment that allowed the judges in each county to merge their superior and municipal courts into a single superior court. By early 2001, all of the state's 58 counties had voted to unify their courts. "", ""**Since 1979, the legislature has required that the State Bar of California's commission on judicial nominees evaluation (informally known as the Jenny Commission) review the qualifications and fitness of prospective judicial appointees through an extensive investigation. The commission, which consists of both public members and attorneys, rates candidates as exceptionally well qualified, well qualified, qualified, or not qualified. The governor is not bound by the commission's recommendations. "", ""***The commission on judicial appointments consists of three members: the chief justice, the attorney general, and the senior presiding justice of the court of appeal of the affected appellate district. When a supreme court appointee is being considered, the third member of the commission is the senior presiding justice of the state's courts of appeal. The commission holds one or more public hearings to review the appointee's qualifications and may confirm or veto the appointment by majority vote. "", ""****If no candidate receives a majority of the vote in the primary election, there is a general-election runoff between the top two candidates. If an incumbent judge is unopposed, s/he is automatically reelected; the judge's name does not appear on the ballot. The constitutionprovides that electors in each county may, by majority vote, opt for the selection of superior court judges by the method used for appellate court judges. To date, no counties have adopted an appointive process. "", '+Incumbency designations on the ballot are determined by each county. ']"
16,Colorado,Supreme Court:,7,1,statewide,gubernatorial appointment from nominating commission,at least 2 yrs,retention election,10 yrs,gubernatorial appointment from nominating commission,next general election after 2 yrs in office,peer vote,indefinite,qualified elector in state; licensed to practice law in state 5 yrs; mandatory retirement age of 72,[]
17,Colorado,Court of Appeals:,22,1,statewide,gubernatorial appointment from nominating commission,at least 2 yrs,retention election,8 yrs,gubernatorial appointment form nominating commission,next general election after 2 yrs in office,chief justice appoints,indefinite,qualified elector in state; licensed to practice law in state 5 yrs. mandatory retirement age of 72,[]
18,Colorado,District Court:,164,22,county,gubernatorial appointment from nominating commission,at least 2 yrs,retention election,6 yrs,gubernatorial appointment from nominating commission,next general election after 2 yrs in office,chief justice appoints,indefinite,qualified elector in district; licensed to practice law in state 5 yrs; mandatory retirment age of 72,[]
19,Connecticut,Supreme Court:,7,--,statewide,gubernatorial nomination from judicial selection commission; legislative appointment,8 yrs,governor renominates; legislature reappoints,8 yrs,gubernatorial nomination from judicial selection commission; legislative appointment*,8 yrs,gubernatorial nomination from judicial selection commission; legislative appointment*,8 yrs*,state resident; licensed to practice in state; mandatory retirement at 70,"['Selection and retention methods and term lengths are prescribed by Article 5and Amendment ArticleXXof the Connecticut Constitution. ', '*The governor may nominate an associate justice of the supreme court to be chief justice without the involvement of the judicial selection commission.Chief justices appointed in this way serve an initial term equal to the remainder of their term as associate justice. ']"
20,Connecticut,Appellate Court:,9,--,statewide,gubernatorial nomination from judicial selection commission; legislative appointment,8 yrs,governor renominates; legislature reappoints,8 yrs,gubernatorial nomination from judicial selection commission; legislative appointment,8 yrs,chief justice,N/A,state resident; licensed to practice in state; mandatory retirement at 70,"['Selection and retention methods and term lengths are prescribed by Article 5and Amendment ArticleXXof the Connecticut Constitution. ', '*The governor may nominate an associate justice of the supreme court to be chief justice without the involvement of the judicial selection commission.Chief justices appointed in this way serve an initial term equal to the remainder of their term as associate justice. ']"
21,Connecticut,Superior Court:,170,--,statewide,gubernatorial nomination from judicial selection commission; legislative appointment,8 yrs,governor renominates; legislature reappoints,8 yrs,gubernatorial nomination from judicial selection commission; legislative appointment,8 yrs,chief court administrator,at pleasure of chief court administrator,state resident; licensed to practice in state; mandatory retirement at 70,"['Selection and retention methods and term lengths are prescribed by Article 5and Amendment ArticleXXof the Connecticut Constitution. ', '*The governor may nominate an associate justice of the supreme court to be chief justice without the involvement of the judicial selection commission.Chief justices appointed in this way serve an initial term equal to the remainder of their term as associate justice. ']"
22,Delaware,Supreme Court:,5,--,statewide,gubernatorial appointment from judicial nominating commission with senate consent*,12 yrs,gubernatorial reappointment from judicial nominating commission with senate consent*,12 yrs,gubernatorial appointment from judicial nominating commission with senate consent*,12 yrs,gubernatorial appointment from judicial nominating commission with senate consent*,12 yrs,"state resident; ""learned in the law""; state bar member","['Selection and retention methods and term lengths are prescribed by Article IV of the Delaware Constitution and Executive Order No. 4. ', '*The Delaware Constitution stipulates that no more than a bare majority of judges of each court may be members of the same political party. ']"
23,Delaware,Superior Court:,20,--,statewide,gubernatorial appointment from judicial nominating commission with senate consent*,12 yrs,gubernatorial reappointment form judicial nominating commission with senate consent*,12 yrs,gubernatorial appointment from judicial nominating commission with senate consent*,12 yrs,gubernatorial appointment from judicial nominating commission with senate consent*,12 yrs,"state resident; law degree; ""learned in the law""; state bar member","['Selection and retention methods and term lengths are prescribed by Article IV of the Delaware Constitution and Executive Order No. 4. ', '*The Delaware Constitution stipulates that no more than a bare majority of judges of each court may be members of the same political party. ']"
24,Delaware,Court of Chancery:,1 Chancellor; 4 vice-chancellors,--,statewide,gubernatorial appointment from judicial nominating commission with senate consent*,12 yrs,gubernatorial reappointment from judicial nominating commission with senate consent*,12 yrs,gubernatorial appointment from judicial nominating commission with senate consent*,12 yrs,gubernatorial appointment from judicial nominating commission with senate consent*,12 yrs,"state resident; law degree; ""learned in the law""; state bar member","['Selection and retention methods and term lengths are prescribed by Article IV of the Delaware Constitution and Executive Order No. 4. ', '*The Delaware Constitution stipulates that no more than a bare majority of judges of each court may be members of the same political party. ']"
25,District of Columbia,Court of Appeals:,9,--,--,"presidential appointment from judicial nomination commission, with senate confirmation",15 yrs,reappointment,15 yrs,presidential appointment from judicial nomination commission,--,designated by the judicial nomination commission,4 yrs,"U.S. citizen; D.C. resident > 90 days prior to appointment; 5 yrs as active member of D.C. bar, professor at D.C. law school, or attorney employed by U.S. or D.C. government; mandatory retirement at 74","['Selection and retention methods and term lengths are prescribed byD.C. Code 1-204.31 and 1-204.33.', 'Note: The superior court consists of a family court and civil, criminal, probate, and tax divisions.']"
26,District of Columbia,Superior Court:,63,--,--,"presidential appointment from judicial nomination commission, with senate confirmation",15 yrs,reappointment,15 yrs,"presidential appointment from judicial nomination commission, with senate confirmation",--,designated by the judicial nomination commission,4 yrs,"U.S. citizen; D.C. resident > 90 days prior to appointment; 5 yrs as active member of D.C. bar, professor at D.C. law school, or attorney employed by U.S. or D.C. government; mandatory retirement at 74","['Selection and retention methods and term lengths are prescribed byD.C. Code 1-204.31 and 1-204.33.', 'Note: The superior court consists of a family court and civil, criminal, probate, and tax divisions.']"
27,Florida,Supreme Court:,7,--,statewide,gubernatorial appointment from nominating commission,at least 1 yr,retention election,6 yrs,gubernatorial appointment from nominating commission,next general election more than 1 yr after appointment,peer vote,2 yrs,qualified elector; state resident; admitted to practice law in state 10 yrs; mandatory retirement age of 70,"['Selection and retention methods and term lengths are prescribed by Article V of the Florida Constitution and Title V, Section 43.291. ', '*If two or more candidates qualify for the ballot, they compete in the first primary election. If no candidate receives a majority of the vote, the top two candidates run in the general election. The voters in each circuit may exercise a local option for merit selection and retention of circuit court judges. A circuit may initiate the local option by filing with the secretary of state a petition signed by a number of voters equal to at least10% of the votes cast in the circuit in the most recent presidential election. The measure must then be approved by a majority of circuit voters. ']"
28,Florida,District Courts of Appeal:,60,5,district,gubernatorial appointment from nominating commission,at least 1 yr,retention election,6 yrs,gubernatorial appointment from nominating commission,next general election more than 1 yr after appointment,peer vote,2 yrs,qualified elector; state resident; admitted to practice law in state 10 yrs; mandatory retirement age of 70,"['Selection and retention methods and term lengths are prescribed by Article V of the Florida Constitution and Title V, Section 43.291. ', '*If two or more candidates qualify for the ballot, they compete in the first primary election. If no candidate receives a majority of the vote, the top two candidates run in the general election. The voters in each circuit may exercise a local option for merit selection and retention of circuit court judges. A circuit may initiate the local option by filing with the secretary of state a petition signed by a number of voters equal to at least10% of the votes cast in the circuit in the most recent presidential election. The measure must then be approved by a majority of circuit voters. ']"
29,Florida,Circuit Court:,597,20,circuit,nonpartisan election*,6 yrs,reelection,6 yrs,gubernatorial appointment from nominating commission,next general election more than 1 yr after appointment,peer vote,2 yrs,qualified elector; circuit resident; admitted to practice law in state 5 yrs; mandatory retirement age of 70,"['Selection and retention methods and term lengths are prescribed by Article V of the Florida Constitution and Title V, Section 43.291. ', '*If two or more candidates qualify for the ballot, they compete in the first primary election. If no candidate receives a majority of the vote, the top two candidates run in the general election. The voters in each circuit may exercise a local option for merit selection and retention of circuit court judges. A circuit may initiate the local option by filing with the secretary of state a petition signed by a number of voters equal to at least10% of the votes cast in the circuit in the most recent presidential election. The measure must then be approved by a majority of circuit voters. ']"
30,Georgia,Supreme Court:,9,--,statewide,nonpartisan election*+,6 yrs,reelection,6 yrs,gubernatorial appointment from nominating commission,next general election held more than 6 months after appointment; serve remainder of unexpired term,peer vote,4 yrs,state resident; admitted to practice law 7 yrs,"['Selection and retention methods and term lengths are prescribed by Article VI of the Georgia Constitution. ', '*If no candidate wins a plurality of the vote in the primary election, there is a runoff in the general election. ', '**The chief judge is usually the most senior judge who has not yet held the position. ', '+Incumbency is designated on the ballot by the name of the previous occupant of the position, assuming that judge runs for reelection. ']"
31,Georgia,Court of Appeals:,12,--,statewide,nonpartisan election*+,6 yrs,reelection,6 yrs,gubernatorial appointment from nominating commission,next general election held more than 6 months after appointment; serve remainder,peer vote**,2 yrs,state resident; admitted to practice law 7 yrs,"['Selection and retention methods and term lengths are prescribed by Article VI of the Georgia Constitution. ', '*If no candidate wins a plurality of the vote in the primary election, there is a runoff in the general election. ', '**The chief judge is usually the most senior judge who has not yet held the position. ', '+Incumbency is designated on the ballot by the name of the previous occupant of the position, assuming that judge runs for reelection. ']"
32,Georgia,Superior Court:,202,49,county,nonpartisan election*+,4 yrs,reelection,4 yrs,gubernatorial appointment from nominating commission,next general election held more than 6 months after appointment; serve remainder of unexpired term,varies by circuit,varies by circuit,state resident 3 yrs; circuit resident; admitted to practice law 7 yrs; minimum age of 30,"['Selection and retention methods and term lengths are prescribed by Article VI of the Georgia Constitution. ', '*If no candidate wins a plurality of the vote in the primary election, there is a runoff in the general election. ', '**The chief judge is usually the most senior judge who has not yet held the position. ', '+Incumbency is designated on the ballot by the name of the previous occupant of the position, assuming that judge runs for reelection. ']"
33,Hawaii,Supreme Court:,5,--,statewide,gubernatorial appointment from nominating commission with senate confirmation,10 yrs,nominating commission retains,10 yrs,gubernatorial appointment from nominating commission with senate confirmation,10 yrs,gubernatorial appointment from nominating commission with senate confirmation,10 yrs,state and U.S. resident and citizen; 10 yrs state practice; mandatory retirement at 70,[]
34,Hawaii,Intermediate Court of Appeals:,6,--,statewide,gubernatorial appointment from nominating commission with senate confirmation,10 yrs,nominating commission retains,10 yrs,gubernatorial appointment from nominating commission with senate confirmation,10 yrs,gubernatorial appointment from nominating commission with senate confirmation,10 yrs,state and U.S. resident and citizen; 10 yrs state practice; mandatory retirement at 70,[]
35,Hawaii,Circuit Court:,33,4,island,gubernatorial appointment from nominating commission with senate confirmation,10 yrs,nominating commission retains,10 yrs,gubernatorial appointment from nominating commission with senate confirmation,10 yrs,chief justice appoints administrative judge in each circuit,chief justice determines,state and U.S. resident and citizen; 10 yrs state practice; mandatory retirement at 70,[]
36,Idaho,Supreme Court:,5,0,statewide,nonpartisan election*+,6 yrs,reelection,6 yrs,gubernatorial appointment from nominating commission,hold office for remainder of unexpired term,peer vote,4 yrs,30 yrs of age; U.S. citizen; state resident 2 yrs; 10 yrs practice of law in ID,"['Selection and retention methods and term lengths are prescribed by Article V of the Idaho Constitution and Sec. 1-2404 of the Idaho Code. ', '*If no candidate in the primary election wins a majority of the vote, the top two vote getters compete in a runoff election in the general election. ', '+Incumbency is designated on the ballot by the name of the previous occupant of the position, assuming that judge runs for reelection. ']"
37,Idaho,Court of Appeals:,3,0,statewide,nonpartisan election*+,6 yrs,reelection,6 yrs,gubernatorial appointment from nominating commission,hold office for remainder of unexpired term,chief justice,2 yrs,30 yrs of age; U.S. citizen; state resident 2 yrs; 10 yrs practice of law in ID,"['Selection and retention methods and term lengths are prescribed by Article V of the Idaho Constitution and Sec. 1-2404 of the Idaho Code. ', '*If no candidate in the primary election wins a majority of the vote, the top two vote getters compete in a runoff election in the general election. ', '+Incumbency is designated on the ballot by the name of the previous occupant of the position, assuming that judge runs for reelection. ']"
38,Idaho,District Court:,40,7,district,nonpartisan election*+,4 yrs,reelection,4 yrs,gubernatorial appointment from nominating commission,hold office for remainder of unexpired term,peer vote,3 yrs,30 yrs of age; U.S. citizen; state resident 2 yrs; resident of judicial district 1 yr; 10 yrs practice of law,"['Selection and retention methods and term lengths are prescribed by Article V of the Idaho Constitution and Sec. 1-2404 of the Idaho Code. ', '*If no candidate in the primary election wins a majority of the vote, the top two vote getters compete in a runoff election in the general election. ', '+Incumbency is designated on the ballot by the name of the previous occupant of the position, assuming that judge runs for reelection. ']"
39,Illinois,Supreme Court:,7,5,district**,partisan election,10 yrs,retention election*****,10 yrs,supreme court appointment,next general election more than 60 days after appointment,peer vote,3 yrs,U.S. citizen; district resident; licensed to practice law in state,"['Selection and retention methods and term lengths are prescribed by Article VI of the Illinois Constitution. ', '*Circuit courts are also served by 391 associate judges who are appointed by circuit judges for four-year terms. ', '**Three justices are elected at large from the first district (Cook County) and one from each of the other four districts. ', '***Eighteen judges are elected from the first district (Cook County) and six from each of the other four districts. Additional judges may be assigned on a temporary basis by the supreme court. ', '****Circuit judges are elected on a circuit-wide basis or from the county where they reside. In Cook County, circuit judges are elected from the entire county or as resident judges from one of the fifteen subcircuits within the county. ', '*****Judges must receive at least 60% affirmative votes to be retained. ']"
40,Illinois,Appellate Court:,42,5,district***,partisan election,10 yrs,retention election*****,10 yrs,supreme court appointment,next general election more than 60 days after appointment,peer vote,1 yr,U.S. citizen; district resident; licensed to practice law in state,"['Selection and retention methods and term lengths are prescribed by Article VI of the Illinois Constitution. ', '*Circuit courts are also served by 391 associate judges who are appointed by circuit judges for four-year terms. ', '**Three justices are elected at large from the first district (Cook County) and one from each of the other four districts. ', '***Eighteen judges are elected from the first district (Cook County) and six from each of the other four districts. Additional judges may be assigned on a temporary basis by the supreme court. ', '****Circuit judges are elected on a circuit-wide basis or from the county where they reside. In Cook County, circuit judges are elected from the entire county or as resident judges from one of the fifteen subcircuits within the county. ', '*****Judges must receive at least 60% affirmative votes to be retained. ']"
41,Illinois,Circuit Court:,513*,22,circuit/county****,partisan election,6 yrs,retention election*****,6 yrs,supreme court appointment,next general election more than 60 days after appointment,peer vote,indefinite,U.S. citizen; circuit/county resident; licensed to practice law in state,"['Selection and retention methods and term lengths are prescribed by Article VI of the Illinois Constitution. ', '*Circuit courts are also served by 391 associate judges who are appointed by circuit judges for four-year terms. ', '**Three justices are elected at large from the first district (Cook County) and one from each of the other four districts. ', '***Eighteen judges are elected from the first district (Cook County) and six from each of the other four districts. Additional judges may be assigned on a temporary basis by the supreme court. ', '****Circuit judges are elected on a circuit-wide basis or from the county where they reside. In Cook County, circuit judges are elected from the entire county or as resident judges from one of the fifteen subcircuits within the county. ', '*****Judges must receive at least 60% affirmative votes to be retained. ']"
42,Indiana,Supreme Court:,5,--,statewide,gubernatorial appointment from nominating commission,at least 2 yrs,retention election,10 yrs,gubernatorial appointment from judicial nominating commission,next general election after 2 yrs in office,judicial nominating commission selects,5 yrs,U.S. citizen; state resident; admitted to state practice 10 yrs or served as judge of trial court 5 yrs; mandatory retirement age of 75,"['Selection andretention methods and term lengths for appellate judges and circuit court judges are prescribed by Article 7 of the Indiana Constitution. For superior court judges, see Title 33 of the Indiana Code. ', '*There are three geographic districts and two statewide at-large districts. ', '**Elections for circuit court judges in Vanderburgh County are nonpartisan. ', '***In Lake and St. Joseph Counties, superior court judges are appointed by the governor from lists of names submitted by local nominating commissions (except judges of the county division of the Lake County superior court, who are elected).Judges stand for retention in the first general election held more than two years after their appointment. Superior court judges in Allen County run without party designation in the general election, and vacancies are filled by the governor from a list of names submitted by the Allen County judicial nominating commission. ', '****Some counties impose additional qualifications. ']"
43,Indiana,Court of Appeals:,15,5*,district,gubernatorial appointment from nominating commission,at least 2 yrs,retention election,10 yrs,gubernatorial appointment from judicial nominating commission,next general election after 2 yrs in office,peer vote,3 yrs,U.S. citizen; state resident; admitted to state practice 10 yrs or served as judge of trial court 5 yrs; mandatory retirement age of 75,"['Selection andretention methods and term lengths for appellate judges and circuit court judges are prescribed by Article 7 of the Indiana Constitution. For superior court judges, see Title 33 of the Indiana Code. ', '*There are three geographic districts and two statewide at-large districts. ', '**Elections for circuit court judges in Vanderburgh County are nonpartisan. ', '***In Lake and St. Joseph Counties, superior court judges are appointed by the governor from lists of names submitted by local nominating commissions (except judges of the county division of the Lake County superior court, who are elected).Judges stand for retention in the first general election held more than two years after their appointment. Superior court judges in Allen County run without party designation in the general election, and vacancies are filled by the governor from a list of names submitted by the Allen County judicial nominating commission. ', '****Some counties impose additional qualifications. ']"
