state,court,name,birth_date,start_date,end_date,mandatory_retirement,chief_justice,chief_term,ticket_party,appointer_name,appointer_party,law_school,source_url,scraped_at
Arkansas,Arkansas Supreme Court,Rhonda K. Wood,"December 10, 1969","January 1, 2015",2030,2046,False,,,,,UA Little Rock,https://en.wikipedia.org/wiki/Arkansas_Supreme_Court,2026-05-19T20:06:43.398249+00:00
Arkansas,Arkansas Supreme Court,Shawn Womack,"August 13, 1972","January 1, 2017",2032,2048,False,,,,,Arkansas,https://en.wikipedia.org/wiki/Arkansas_Supreme_Court,2026-05-19T20:06:43.398249+00:00
Arkansas,Arkansas Supreme Court,Barbara Womack Webb,1956 or 1957,"January 1, 2021",2028,2028,False,,,,,Arkansas,https://en.wikipedia.org/wiki/Arkansas_Supreme_Court,2026-05-19T20:06:43.398249+00:00
Arkansas,Arkansas Supreme Court,J. Cody Hiland,1972,"July 3, 2023",2026,2048,False,,,Sarah Huckabee Sanders,R,UA Little Rock,https://en.wikipedia.org/wiki/Arkansas_Supreme_Court,2026-05-19T20:06:43.398249+00:00
Arkansas,Arkansas Supreme Court,Nicholas Bronni,1982 or 1983,"January 1, 2025",2026,2056,False,,,Sarah Huckabee Sanders,R,Michigan,https://en.wikipedia.org/wiki/Arkansas_Supreme_Court,2026-05-19T20:06:43.398249+00:00
California,Supreme Court of California,Patricia Guerrero,"December 7, 1971","March 28, 2022",2034,,True,,,Gavin Newsom,D,Stanford,https://en.wikipedia.org/wiki/California_Supreme_Court,2026-05-19T20:06:43.639531+00:00
California,Supreme Court of California,Carol Corrigan,"August 16, 1948","January 4, 2006",2030,,False,,,Arnold Schwarzenegger,R,UC Hastings,https://en.wikipedia.org/wiki/California_Supreme_Court,2026-05-19T20:06:43.639531+00:00
California,Supreme Court of California,Goodwin Liu,"October 19, 1970","September 1, 2011",2034,,False,,,Jerry Brown,D,Yale,https://en.wikipedia.org/wiki/California_Supreme_Court,2026-05-19T20:06:43.639531+00:00
California,Supreme Court of California,Leondra Kruger,"July 28, 1976","January 5, 2015",2030,,False,,,Jerry Brown,D,Yale,https://en.wikipedia.org/wiki/California_Supreme_Court,2026-05-19T20:06:43.639531+00:00
California,Supreme Court of California,Joshua Groban,"August 15, 1973","January 3, 2019",2026,,False,,,Jerry Brown,D,Harvard,https://en.wikipedia.org/wiki/California_Supreme_Court,2026-05-19T20:06:43.639531+00:00
California,Supreme Court of California,Kelli Evans,"July 9, 1968","January 2, 2023",2026,,False,,,Gavin Newsom,D,UC Davis,https://en.wikipedia.org/wiki/California_Supreme_Court,2026-05-19T20:06:43.639531+00:00
Colorado,Colorado Supreme Court,Monica Márquez,"April 20, 1969","December 10, 2010","January 9, 2035",2041,True,2024–present,,Bill Ritter,D,Yale,https://en.wikipedia.org/wiki/Colorado_Supreme_Court,2026-05-19T20:06:43.906691+00:00
Colorado,Colorado Supreme Court,Brian Boatright,"June 16, 1962","November 1, 2011","January 9, 2035",2034,False,2021–2024,,John Hickenlooper,D,Denver,https://en.wikipedia.org/wiki/Colorado_Supreme_Court,2026-05-19T20:06:43.906691+00:00
Colorado,Colorado Supreme Court,William W. Hood III,1963,"January 13, 2014","January 12, 2027",2035,False,,,John Hickenlooper,D,Virginia,https://en.wikipedia.org/wiki/Colorado_Supreme_Court,2026-05-19T20:06:43.906691+00:00
Colorado,Colorado Supreme Court,Richard L. Gabriel,"March 3, 1962","September 1, 2015","January 9, 2029",2034,False,,,John Hickenlooper,D,Penn,https://en.wikipedia.org/wiki/Colorado_Supreme_Court,2026-05-19T20:06:43.906691+00:00
Colorado,Colorado Supreme Court,Carlos Samour,1966 or 1967,"July 2, 2018","January 14, 2031",2039,False,,,John Hickenlooper,D,Denver,https://en.wikipedia.org/wiki/Colorado_Supreme_Court,2026-05-19T20:06:43.906691+00:00
Colorado,Colorado Supreme Court,Maria Berkenkotter,1962 or 1963,"January 4, 2021","January 9, 2035",2035,False,,,Jared Polis,D,Denver,https://en.wikipedia.org/wiki/Colorado_Supreme_Court,2026-05-19T20:06:43.906691+00:00
Colorado,Colorado Supreme Court,Susan Blanco,1977 or 1978,"February 17, 2026","January 14, 2031",2049,False,,,Jared Polis,D,Boulder,https://en.wikipedia.org/wiki/Colorado_Supreme_Court,2026-05-19T20:06:43.906691+00:00
Connecticut,Connecticut Supreme Court,Raheem L. Mullins,"March 10, 1978","November 1, 2017",2033,2048,True,,,Ned Lamont,D,Northeastern,https://en.wikipedia.org/wiki/Connecticut_Supreme_Court,2026-05-19T20:06:44.165536+00:00
Connecticut,Connecticut Supreme Court,Andrew J. McDonald,"March 11, 1966","January 24, 2013",2029,2036,False,,,Dannel Malloy,D,Connecticut,https://en.wikipedia.org/wiki/Connecticut_Supreme_Court,2026-05-19T20:06:44.165536+00:00
Connecticut,Connecticut Supreme Court,Gregory D'Auria,"June 24, 1963","April 10, 2017",2033,2033,False,,,Dannel Malloy,D,Connecticut,https://en.wikipedia.org/wiki/Connecticut_Supreme_Court,2026-05-19T20:06:44.165536+00:00
Connecticut,Connecticut Supreme Court,Steven D. Ecker,"April 19, 1961","May 3, 2018",2026,2031,False,,,Dannel Malloy,D,Harvard,https://en.wikipedia.org/wiki/Connecticut_Supreme_Court,2026-05-19T20:06:44.165536+00:00
Connecticut,Connecticut Supreme Court,Joan K. Alexander,May 1962,"April 30, 2022",2030,2032,False,,,Ned Lamont,D,Connecticut,https://en.wikipedia.org/wiki/Connecticut_Supreme_Court,2026-05-19T20:06:44.165536+00:00
Connecticut,Connecticut Supreme Court,Nora Dannehy,"March 11, 1961","September 26, 2023",2031,2031,False,,,Ned Lamont,D,Harvard,https://en.wikipedia.org/wiki/Connecticut_Supreme_Court,2026-05-19T20:06:44.165536+00:00
Connecticut,Connecticut Supreme Court,William H. Bright Jr.,"August 15, 1962","March 5, 2025",2032,2032,False,,,Ned Lamont,D,Chicago,https://en.wikipedia.org/wiki/Connecticut_Supreme_Court,2026-05-19T20:06:44.165536+00:00
Delaware,Delaware Supreme Court,Collins J. Seitz Jr.,"September 14, 1957","April 14, 2015",2031,,True,,Democratic,John Carney,D,Villanova,https://en.wikipedia.org/wiki/Delaware_Supreme_Court,2026-05-19T20:06:44.397790+00:00
Delaware,Delaware Supreme Court,Karen L. Valihura,"May 16, 1963","July 25, 2014",2026,,False,,Republican,Jack Markell,D,Pennsylvania,https://en.wikipedia.org/wiki/Delaware_Supreme_Court,2026-05-19T20:06:44.397790+00:00
Delaware,Delaware Supreme Court,Gary Traynor,"August 25, 1956","July 5, 2017",2029,,False,,Republican,John Carney,D,Delaware,https://en.wikipedia.org/wiki/Delaware_Supreme_Court,2026-05-19T20:06:44.397790+00:00
Delaware,Delaware Supreme Court,Abigail LeGrow,1979,"May 11, 2023",2035,,False,,Democratic,John Carney,D,Penn State (Dickinson),https://en.wikipedia.org/wiki/Delaware_Supreme_Court,2026-05-19T20:06:44.397790+00:00
Delaware,Delaware Supreme Court,N. Christopher Griffiths,,"May 22, 2023",2035,,False,,Democratic,John Carney,D,Villanova,https://en.wikipedia.org/wiki/Delaware_Supreme_Court,2026-05-19T20:06:44.397790+00:00
Florida,Supreme Court of Florida,Carlos G. Muñiz,"June 25, 1969","January 22, 2019","January 5, 2027",2044,True,2022–present,,Ron DeSantis,R,Yale,https://en.wikipedia.org/wiki/Florida_Supreme_Court,2026-05-19T20:06:44.618909+00:00
Florida,Supreme Court of Florida,Jorge Labarga,"October 21, 1952","January 6, 2009","January 2, 2029",2027,False,2014–2018,,Charlie Crist,R,Florida,https://en.wikipedia.org/wiki/Florida_Supreme_Court,2026-05-19T20:06:44.618909+00:00
Florida,Supreme Court of Florida,John D. Couriel,"March 23, 1978","June 1, 2020","January 2, 2029",2053,False,,,Ron DeSantis,R,Harvard,https://en.wikipedia.org/wiki/Florida_Supreme_Court,2026-05-19T20:06:44.618909+00:00
Florida,Supreme Court of Florida,Jamie Grosshans,"October 27, 1978","September 14, 2020","January 2, 2029",2053,False,,,Ron DeSantis,R,Mississippi,https://en.wikipedia.org/wiki/Florida_Supreme_Court,2026-05-19T20:06:44.618909+00:00
Florida,Supreme Court of Florida,Renatha Francis,"November 23, 1977","September 1, 2022","January 6, 2031",2052,False,,,Ron DeSantis,R,Florida Coastal,https://en.wikipedia.org/wiki/Florida_Supreme_Court,2026-05-19T20:06:44.618909+00:00
Florida,Supreme Court of Florida,Meredith Sasso,"February 15, 1983","May 25, 2023","January 6, 2031",2058,False,,,Ron DeSantis,R,Florida,https://en.wikipedia.org/wiki/Florida_Supreme_Court,2026-05-19T20:06:44.618909+00:00
Florida,Supreme Court of Florida,Adam Tanenbaum,"February 6, 1972","January 15, 2026","January 2, 2029",2047,False,,,Ron DeSantis,R,Georgetown,https://en.wikipedia.org/wiki/Florida_Supreme_Court,2026-05-19T20:06:44.618909+00:00
Georgia,Supreme Court of Georgia (U.S. state),Nels S. D. Peterson,"September 17, 1978","January 1, 2017",2030,,True,2025–present,,Nathan Deal,R,Harvard,https://en.wikipedia.org/wiki/Supreme_Court_of_Georgia_(U.S._state),2026-05-19T20:06:44.867830+00:00
Georgia,Supreme Court of Georgia (U.S. state),Sarah Hawkins Warren,1981 or 1982,"September 17, 2018",2026,,False,,,Nathan Deal,R,Duke,https://en.wikipedia.org/wiki/Supreme_Court_of_Georgia_(U.S._state),2026-05-19T20:06:44.867830+00:00
Georgia,Supreme Court of Georgia (U.S. state),Charlie Bethel,"March 3, 1976","October 2, 2018",2026,,False,,,Nathan Deal,R,Georgia,https://en.wikipedia.org/wiki/Supreme_Court_of_Georgia_(U.S._state),2026-05-19T20:06:44.867830+00:00
Georgia,Supreme Court of Georgia (U.S. state),John J. Ellington,"October 26, 1960","December 19, 2018",2030,,False,,,,,Georgia,https://en.wikipedia.org/wiki/Supreme_Court_of_Georgia_(U.S._state),2026-05-19T20:06:44.867830+00:00
Georgia,Supreme Court of Georgia (U.S. state),Carla Wong McMillian,"May 27, 1973","April 10, 2020",2028,,False,,,Brian Kemp,R,Georgia,https://en.wikipedia.org/wiki/Supreme_Court_of_Georgia_(U.S._state),2026-05-19T20:06:44.867830+00:00
Georgia,Supreme Court of Georgia (U.S. state),Shawn Ellen LaGrua,1962,"January 7, 2021",2028,,False,,,Brian Kemp,R,Georgia State,https://en.wikipedia.org/wiki/Supreme_Court_of_Georgia_(U.S._state),2026-05-19T20:06:44.867830+00:00
Georgia,Supreme Court of Georgia (U.S. state),Verda Colvin,1965,"July 29, 2021",2028,,False,,,Brian Kemp,R,Georgia,https://en.wikipedia.org/wiki/Supreme_Court_of_Georgia_(U.S._state),2026-05-19T20:06:44.867830+00:00
Georgia,Supreme Court of Georgia (U.S. state),Andrew Pinson,1986,"July 20, 2022",2030,,False,,,Brian Kemp,R,Georgia,https://en.wikipedia.org/wiki/Supreme_Court_of_Georgia_(U.S._state),2026-05-19T20:06:44.867830+00:00
Georgia,Supreme Court of Georgia (U.S. state),Benjamin Land,,"July 24, 2025",2026,,False,,,Brian Kemp,R,Georgia,https://en.wikipedia.org/wiki/Supreme_Court_of_Georgia_(U.S._state),2026-05-19T20:06:44.867830+00:00
Hawaii,Supreme Court of Hawaii,Vladimir Devens,1962,"May 5, 2026","May 4, 2036",2032,True,,,Josh Green,D,UC Berkeley,https://en.wikipedia.org/wiki/Hawaii_Supreme_Court,2026-05-19T20:06:45.090400+00:00
Hawaii,Supreme Court of Hawaii,Sabrina McKenna,"October 7, 1957","March 3, 2011","March 2, 2031",2027,False,,,Neil Abercrombie,D,HawaiiDuke (LLM),https://en.wikipedia.org/wiki/Hawaii_Supreme_Court,2026-05-19T20:06:45.090400+00:00
Hawaii,Supreme Court of Hawaii,Todd W. Eddins,"March 18, 1964","December 11, 2020","December 10, 2030",2034,False,,,David Ige,D,Hawaii,https://en.wikipedia.org/wiki/Hawaii_Supreme_Court,2026-05-19T20:06:45.090400+00:00
Hawaii,Supreme Court of Hawaii,Lisa M. Ginoza,"October 20, 1964","January 12, 2024","January 11, 2034",2034,False,,,Josh Green,D,Hawaii,https://en.wikipedia.org/wiki/Hawaii_Supreme_Court,2026-05-19T20:06:45.090400+00:00
Idaho,Idaho Supreme Court,G. Richard Bevan,"May 5, 1959","September 27, 2017",2030,,True,2021–present,,Butch Otter,R,BYU,https://en.wikipedia.org/wiki/Idaho_Supreme_Court,2026-05-19T20:06:45.337610+00:00
Idaho,Idaho Supreme Court,Robyn Brody,"February 13, 1970","January 2, 2017",2028,,False,,,,,Denver,https://en.wikipedia.org/wiki/Idaho_Supreme_Court,2026-05-19T20:06:45.337610+00:00
Idaho,Idaho Supreme Court,Gregory W. Moeller,"May 1, 1963","January 3, 2019",2026,,False,,,Butch Otter,R,BYU,https://en.wikipedia.org/wiki/Idaho_Supreme_Court,2026-05-19T20:06:45.337610+00:00
Idaho,Idaho Supreme Court,Colleen Zahn,"October 7, 1973","July 1, 2021",2028,,False,,,Brad Little,R,Idaho,https://en.wikipedia.org/wiki/Idaho_Supreme_Court,2026-05-19T20:06:45.337610+00:00
Idaho,Idaho Supreme Court,Cynthia Meyer,,December 2023,2026,,False,,,Brad Little,R,Utah,https://en.wikipedia.org/wiki/Idaho_Supreme_Court,2026-05-19T20:06:45.337610+00:00
Illinois,Supreme Court of Illinois,P. Scott Neville Jr.,1948 or 1949,"June 15, 2018",2030,,True,2025–present,Democratic,,,WashU,https://en.wikipedia.org/wiki/Illinois_Supreme_Court,2026-05-19T20:06:45.572256+00:00
Illinois,Supreme Court of Illinois,David K. Overstreet,"January 14, 1966","December 7, 2020",2030,,False,,Republican,,,Tennessee,https://en.wikipedia.org/wiki/Illinois_Supreme_Court,2026-05-19T20:06:45.572256+00:00
Illinois,Supreme Court of Illinois,Lisa Holder White,1968,"July 8, 2022",2034,,False,,Republican,,,Illinois,https://en.wikipedia.org/wiki/Illinois_Supreme_Court,2026-05-19T20:06:45.572256+00:00
Illinois,Supreme Court of Illinois,Joy Cunningham,1951,"December 1, 2022",2034,,False,,Democratic,,,UIC,https://en.wikipedia.org/wiki/Illinois_Supreme_Court,2026-05-19T20:06:45.572256+00:00
Illinois,Supreme Court of Illinois,Elizabeth Rochford,1960 or 1961,"December 5, 2022",2032,,False,,Democratic,,,Loyola,https://en.wikipedia.org/wiki/Illinois_Supreme_Court,2026-05-19T20:06:45.572256+00:00
Illinois,Supreme Court of Illinois,Mary Kay O'Brien,"June 4, 1965","December 5, 2022",2032,,False,,Democratic,,,Illinois,https://en.wikipedia.org/wiki/Illinois_Supreme_Court,2026-05-19T20:06:45.572256+00:00
Illinois,Supreme Court of Illinois,Sanjay Tailor,"March 12, 1964","January 30, 2026",2028,,False,,Democratic,,,Loyola,https://en.wikipedia.org/wiki/Illinois_Supreme_Court,2026-05-19T20:06:45.572256+00:00
Indiana,Indiana Supreme Court,Loretta Rush,"May 11, 1958","November 7, 2012",2034,2033,True,2014–present,,Mitch Daniels,R,Indiana,https://en.wikipedia.org/wiki/Indiana_Supreme_Court,2026-05-19T20:06:45.808751+00:00
Indiana,Indiana Supreme Court,Mark Massa,"March 6, 1961","April 2, 2012",2034,2036,False,,,Mitch Daniels,R,IU-Indianapolis,https://en.wikipedia.org/wiki/Indiana_Supreme_Court,2026-05-19T20:06:45.808751+00:00
Indiana,Indiana Supreme Court,Geoffrey G. Slaughter,"November 1, 1962","June 13, 2016",2028,2037,False,,,Mike Pence,R,Indiana,https://en.wikipedia.org/wiki/Indiana_Supreme_Court,2026-05-19T20:06:45.808751+00:00
Indiana,Indiana Supreme Court,Christopher M. Goff,1972,"July 24, 2017",2030,2047,False,,,Eric Holcomb,R,Indiana,https://en.wikipedia.org/wiki/Indiana_Supreme_Court,2026-05-19T20:06:45.808751+00:00
Indiana,Indiana Supreme Court,Derek R. Molter,"February 16, 1982","September 1, 2022",2034,2057,False,,,Eric Holcomb,R,Indiana,https://en.wikipedia.org/wiki/Indiana_Supreme_Court,2026-05-19T20:06:45.808751+00:00
Iowa,Iowa Supreme Court,Susan Christensen,"April 27, 1962","September 21, 2018",2028,"April 27, 2034",True,,,Kim Reynolds,R,Creighton,https://en.wikipedia.org/wiki/Iowa_Supreme_Court,2026-05-19T20:06:46.030950+00:00
Iowa,Iowa Supreme Court,Edward Mansfield,"January 12, 1957","February 23, 2011",2028,"January 12, 2029",False,,,Terry Branstad,R,Yale,https://en.wikipedia.org/wiki/Iowa_Supreme_Court,2026-05-19T20:06:46.030950+00:00
Iowa,Iowa Supreme Court,Thomas D. Waterman,1959,"February 23, 2011",2028,2031,False,,,Terry Branstad,R,Iowa,https://en.wikipedia.org/wiki/Iowa_Supreme_Court,2026-05-19T20:06:46.030950+00:00
Iowa,Iowa Supreme Court,Christopher McDonald,"September 17, 1974","February 20, 2019",2028,"September 17, 2046",False,,,Kim Reynolds,R,Iowa,https://en.wikipedia.org/wiki/Iowa_Supreme_Court,2026-05-19T20:06:46.030950+00:00
Iowa,Iowa Supreme Court,Dana Oxley,"December 27, 1967","January 29, 2020",2030,"December 27, 2039",False,,,Kim Reynolds,R,Iowa,https://en.wikipedia.org/wiki/Iowa_Supreme_Court,2026-05-19T20:06:46.030950+00:00
Iowa,Iowa Supreme Court,Matthew McDermott,"November 22, 1977","April 3, 2020",2030,"November 22, 2049",False,,,Kim Reynolds,R,UC Berkeley,https://en.wikipedia.org/wiki/Iowa_Supreme_Court,2026-05-19T20:06:46.030950+00:00
Iowa,Iowa Supreme Court,David N. May,"May 23, 1971","July 27, 2022",2032,"May 23, 2043",False,,,Kim Reynolds,R,Drake,https://en.wikipedia.org/wiki/Iowa_Supreme_Court,2026-05-19T20:06:46.030950+00:00
Kansas,Kansas Supreme Court,Eric S. Rosen,"March 25, 1953","November 18, 2005",2026,"January 10, 2033",True,,,Kathleen Sebelius,D,Washburn,https://en.wikipedia.org/wiki/Kansas_Supreme_Court,2026-05-19T20:06:46.256563+00:00
Kansas,Kansas Supreme Court,Daniel Biles,"August 12, 1952","March 6, 2009",2028,"January 8, 2029",False,,,Kathleen Sebelius,D,Washburn,https://en.wikipedia.org/wiki/Kansas_Supreme_Court,2026-05-19T20:06:46.256563+00:00
Kansas,Kansas Supreme Court,Caleb Stegall,"September 20, 1971","December 5, 2014",2028,"January 14, 2047",False,,,Sam Brownback,R,Kansas,https://en.wikipedia.org/wiki/Kansas_Supreme_Court,2026-05-19T20:06:46.256563+00:00
Kansas,Kansas Supreme Court,K. J. Wall,"November 17, 1970","August 3, 2020",2028,"January 14, 2047",False,,,Laura Kelly,D,Kansas,https://en.wikipedia.org/wiki/Kansas_Supreme_Court,2026-05-19T20:06:46.256563+00:00
Kansas,Kansas Supreme Court,Melissa Standridge,"July 12, 1962","December 14, 2020",2028,"January 14, 2041",False,,,Laura Kelly,D,UMKC,https://en.wikipedia.org/wiki/Kansas_Supreme_Court,2026-05-19T20:06:46.256563+00:00
Kansas,Kansas Supreme Court,Larkin Walsh,1978 or 1979,"September 17, 2025",2026,"January 8, 2057",False,,,Laura Kelly,D,Kansas,https://en.wikipedia.org/wiki/Kansas_Supreme_Court,2026-05-19T20:06:46.256563+00:00
Kentucky,Kentucky Supreme Court,Debra H. Lambert,,"January 7, 2019",2026,,True,,,,,Kentucky,https://en.wikipedia.org/wiki/Kentucky_Supreme_Court,2026-05-19T20:06:46.498494+00:00
Kentucky,Kentucky Supreme Court,Robert B. Conley,"July 19, 1958","January 4, 2021",2028,,False,,,,,Northern Kentucky,https://en.wikipedia.org/wiki/Kentucky_Supreme_Court,2026-05-19T20:06:46.498494+00:00
Kentucky,Kentucky Supreme Court,Michelle M. Keller,1960,"April 3, 2013",2030,,False,,,,,Northern Kentucky,https://en.wikipedia.org/wiki/Kentucky_Supreme_Court,2026-05-19T20:06:46.498494+00:00
Kentucky,Kentucky Supreme Court,Christopher Shea Nickell,1958 or 1959,"December 11, 2019",2030,,False,,,,,Kentucky,https://en.wikipedia.org/wiki/Kentucky_Supreme_Court,2026-05-19T20:06:46.498494+00:00
Kentucky,Kentucky Supreme Court,Kelly Thompson,1947 or 1948,"January 2, 2023",2030,,False,,,,,Kentucky,https://en.wikipedia.org/wiki/Kentucky_Supreme_Court,2026-05-19T20:06:46.498494+00:00
Kentucky,Kentucky Supreme Court,Angela McCormick Bisig,1964 or 1965,"January 2, 2023",2030,,False,,,,,Louisville,https://en.wikipedia.org/wiki/Kentucky_Supreme_Court,2026-05-19T20:06:46.498494+00:00
Kentucky,Kentucky Supreme Court,Pamela R. Goodwine,1959 or 1960,"January 6, 2025",2032,,False,,,,,Kentucky,https://en.wikipedia.org/wiki/Kentucky_Supreme_Court,2026-05-19T20:06:46.498494+00:00
Louisiana,Louisiana Supreme Court,John L. Weimer,"October 2, 1954","December 13, 2001",2032,,True,,Independent,,,Louisiana State,https://en.wikipedia.org/wiki/Louisiana_Supreme_Court,2026-05-19T20:06:46.725675+00:00
Louisiana,Louisiana Supreme Court,Jefferson D. Hughes III,"January 9, 1952","February 1, 2013",2028,,False,,Republican,,,Louisiana State,https://en.wikipedia.org/wiki/Louisiana_Supreme_Court,2026-05-19T20:06:46.725675+00:00
Louisiana,Louisiana Supreme Court,Jay McCallum,"June 6, 1960","November 13, 2020",2026,,False,,Republican,,,Louisiana State,https://en.wikipedia.org/wiki/Louisiana_Supreme_Court,2026-05-19T20:06:46.725675+00:00
Louisiana,Louisiana Supreme Court,Piper D. Griffin,"February 2, 1962","January 1, 2021",2030,,False,,Democratic,,,Louisiana State,https://en.wikipedia.org/wiki/Louisiana_Supreme_Court,2026-05-19T20:06:46.725675+00:00
Louisiana,Louisiana Supreme Court,John Guidry,"January 19, 1962","January 1, 2025",2034,,False,,Democratic,,,Southern,https://en.wikipedia.org/wiki/Louisiana_Supreme_Court,2026-05-19T20:06:46.725675+00:00
Louisiana,Louisiana Supreme Court,Cade Cole,1983,"April 2, 2025",2026,,False,,Republican,,,Tulane,https://en.wikipedia.org/wiki/Louisiana_Supreme_Court,2026-05-19T20:06:46.725675+00:00
Louisiana,Louisiana Supreme Court,Allison Penzato,,"December 22, 2025",2026 (special),,False,,Republican,,,Loyola,https://en.wikipedia.org/wiki/Louisiana_Supreme_Court,2026-05-19T20:06:46.725675+00:00
Maine,Maine Supreme Judicial Court,Valerie Stanfill,1957 or 1958,"June 8, 2021","June 8, 2028",,True,,,Janet Mills,D,Maine,https://en.wikipedia.org/wiki/Maine_Supreme_Judicial_Court,2026-05-19T20:06:46.950075+00:00
